Year,Month,Day,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
1992,5,21,68.1,2.2,9.5,4.5,0,0,9,0,0,0,0,0,0,6.5,4.5,0,5,0,1,0,0.5,0,0,0
1992,5,22,0,1,0,0,0,0,1.5,0,0,0,0,0,0,6,0,0,2.5,0,0,0,21.5,0,0,0
1992,5,23,0,0,0,0,0,0,0,0,0,0,35.5,0,0,1,0,0,21,0,2,31.5,8,0,0,0
1992,5,24,0,18.5,0,0,15.9,3,0,0,0,0,0.5,6,0,1.5,0,0,0.5,0,0.5,0,0,1,0,0
1992,5,25,0,0.4,0,1.5,6,1,0,20,0,0,0,0,0,0.5,0,0,0,0,0,7.5,18.5,8.5,0,6.5
1992,5,26,0,0,0,1,2.8,0,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.5
1992,5,27,0,0,17,3,11.9,0,0,1.5,0,0,0,1,0,0.5,0,0,2.5,0,0,0,0,0,0,0
1992,5,28,0,0,2.5,69,0,0,0,6,0,0,0,0,0,7.5,1,0,0,0,0,3,0,1.5,0,0
1992,5,29,0,5.8,1.5,0,0,0,35.5,22,0,0,0,0,0,1.5,18.5,0,0,0,0,2.5,0,0,0,0
1992,5,30,0,27.7,6.5,0,9.7,0,0,1,0,0,0,0,0,0.5,7,0,17.5,5,3,0,0,0,0,0
1992,5,31,0,0,20.5,0,0,0,0,0,0,0,0,0,0,0,1.5,0,11,0,18.5,3,38.5,0,7,0
1992,6,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0.5,85.5,0,0,0,0,17,7,0,0,0
1992,6,2,0.5,0,1.5,0,0,1,0,0,1.5,0,0,0,0,1,30.5,0,0,0.5,112.5,4.5,3.5,0,0,0
1992,6,3,7.4,67.2,7,0,0,0,0,0,7.5,0,34,7.5,1,0.5,1,0,0,0,20.5,0,0.5,0,0,0
1992,6,4,111.1,0,0,0,0,0,0,0,0.5,0,15.5,0,0,19.5,3,0,2.5,0,0,0,2,0.5,0,0
1992,6,5,19.9,3.4,0,0,0,0,0,66.5,0,0,1,0,0,0,0,0,1,0,1.5,0,0.5,2,0,0
1992,6,6,31.1,0,0,0,0,0,21.5,0,0,0,0,0,0,3,1.5,0,0,0,2,0,14.5,0,0,0
1992,6,7,0.6,0.9,65,0,4.8,0,0,0,0,0,0,0,0,3,1.5,0,4,0,0,0,0,1.5,0,0
1992,6,8,0,4.3,0.5,0,12.9,0,0,4.5,0,0,0,0,0,1,5,0,0.5,0,0.5,0,5,0,0,0
1992,6,9,54.5,1.6,0,0,7.9,0,0,0.5,0,0,2.5,0,0,0,0,0,0,0,1,0,0.5,0,0,0
1992,6,12,30.9,0.3,33.5,0,10.2,0,0,0.5,0,0,0,0,0,17,9.5,0,0,0,0,0,13,0,0,0
1992,6,13,Trace,13.5,9,0,0,0,2.5,2.5,0,0,7,0,0,0,3.5,0,0,0,0,0,1.5,0.5,0,1
1992,6,14,14.3,33.3,1,0,2.8,0.5,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,30,0,0,0
1992,6,15,3.3,29.8,5.5,0,0.4,18.5,0,0,0,0,0,0,3.5,18.5,0,0,0,0,0.5,0,49,0,0,1
1992,6,16,35.4,3.3,0.5,0,0.7,0,42.5,0,0,0,1,0,15.5,1,0.5,0,0,0,0,0,0,0,0,0
1992,6,17,9.7,0.5,0,0,0,0,1.5,0,0,0,0,0,13.5,0,12.5,0,0,0,0,0,0,0,0,5.5
1992,6,18,0.2,0,0,0,0,0,0,0.5,0,0,0,0,5.5,1,0.5,0,23.5,0,2,0,0.5,0,0,3
1992,6,19,0,0,0.5,0,0,0,0,33,0,0,0,0,2,0.5,1,0,4,0,0.5,0,16,0,0,0
1992,6,20,0.7,0.4,0.5,0,1.2,0,0,3.5,0,0,0,0,8,1.5,2,0,0,0,0,11,96.5,0,0,0
