Year,Month
1960,5
1961,4
1966,6
1969,8
1970,9
1970,5
1972,5
1972,6
1975,5
1975,4
1975,5
1976,6
1977,6
1978,6
1982,8
1983,6
1985,6
1985,8
1987,4
1987,7
1989,5
1992,4
1994,7
1997,5
2005,6
